tid,election,violence,date
734426087334105088,no,no,unknown
718894094454370304,no,no,unknown
735687954920673281,no,no,unknown
735572171221696513,no,no,unknown
739699354966069249,no,no,unknown
725952658960310272,yes,no,unknown
721651365257158656,no,no,unknown
737691147313815552,yes,violence,2016-05-31
731757977368059904,no,no,unknown
720424869456846849,no,no,unknown
726591374921846784,yes,no,unknown
721258179212873730,no,no,unknown
732898637840297985,no,no,unknown
729666594037583873,yes,no,unknown
722668869421285377,yes,no,unknown
735418889417437184,no,no,unknown
732849610327265280,yes,no,unknown
737406434887884800,no,no,unknown
728986348263231489,no,no,unknown
719876608488824832,yes,no,unknown
728239178740158464,yes,no,unknown
732007533104107520,no,no,unknown
730610772787625984,yes,no,unknown
726166400327262208,no,no,unknown
737354439187533824,no,no,unknown
734802532954935296,no,no,unknown
725671207660601349,no,no,unknown
731494147794690052,no,no,unknown
720092708820357120,yes,no,unknown
721949591462019072,yes,violence,2016-04-18
718891393477775360,yes,malpractice,2016-04-10
734673176160919552,yes,no,unknown
728379806673342464,yes,no,unknown
719511700530151424,yes,no,unknown
726783826093993984,yes,no,unknown
731410852214013952,no,no,unknown
736198609532653572,yes,no,unknown
720219680099545088,no,no,unknown
738408115155001346,no,no,unknown
721457312737718273,no,no,unknown
739976374996377600,no,no,unknown
726201637333667840,no,no,unknown
732015316708954112,no,no,unknown
732457292646342657,no,no,unknown
734132243384373248,no,no,unknown
735389019652161536,yes,no,unknown
729246831037718528,yes,no,unknown
739840899560005632,no,no,unknown
722314765305950208,no,no,unknown
721195237184393216,no,no,unknown
735166772635176960,no,no,unknown
721708175548743681,yes,no,unknown
740716308535349249,no,no,unknown
733659418693369856,no,no,unknown
734330817690771456,yes,malpractice,2016-05-22
735521199724187648,yes,malpractice,unknown
725559671818342400,no,no,unknown
732756107186298880,no,no,unknown
729136267821096960,no,no,unknown
740920973663207424,yes,no,unknown
733497752206905344,no,no,unknown
739946121083146242,no,no,unknown
724686145095766016,no,no,unknown
732947896371306496,yes,malpractice,2016-05-18
739635271965118465,no,no,unknown
736530280786198529,no,no,unknown
728525765306765313,yes,no,unknown
734692195333083137,no,no,unknown
733207001065529344,no,no,unknown
718676680668131328,yes,malpractice,2016-04-09
718768708122976257,no,no,unknown
733702505327136771,yes,no,unknown
738384823358619650,no,no,unknown
726359887643451392,no,no,unknown
719608872604819456,yes,malpractice,2016-04-12
736910546935521280,no,no,unknown
730943849476980737,yes,no,unknown
733566093864763392,no,no,unknown
740051482398105600,yes,no,unknown
736586290703917057,no,no,unknown
737746129358589953,no,no,unknown
734765547636723713,no,no,unknown
728150351937830912,no,no,unknown
739037760846237696,yes,no,unknown
738420579821314053,no,no,unknown
729579870339137536,yes,malpractice,2016-05-09
739703528650743809,no,no,unknown
732109908208816129,yes,no,unknown
737355290736132096,no,no,unknown
728083615137992711,yes,no,unknown
740494445204885504,no,no,unknown
727797935879159808,yes,no,unknown
730367166965415936,yes,malpractice,2016-05-11
730559660051177472,yes,no,unknown
737076161532952577,yes,no,unknown
734874262796947457,no,no,unknown
725930799778799616,no,no,unknown
735445360110342144,no,no,unknown
730179694591541248,yes,no,unknown
719714719376867329,no,no,unknown
740095818015858688,yes,violence,2016-06-07
735414205256372224,no,no,unknown
719613529741877248,no,no,unknown
727411345080127488,no,no,unknown
732187236721004544,no,no,unknown
720025664439472128,yes,malpractice,2016-04-13
739094698581626880,no,no,unknown
726197844470714368,no,no,unknown
740139738661675008,no,no,unknown
736108707105230848,no,no,unknown
730195960605769728,yes,no,unknown
738900771505217536,no,no,unknown
731537163632922626,no,no,unknown
727425658188484608,yes,no,unknown
740038567741644800,no,no,unknown
719943542563418112,yes,malpractice,unknown
732797871058243585,no,no,unknown
724948549130063872,yes,no,unknown
731793874662752256,no,no,unknown
741198019903643648,no,no,unknown
734387996686995457,yes,malpractice,2016-05-22
730376217052909573,no,no,unknown
726668739022721025,yes,no,unknown
735348233426350080,no,no,unknown
739830744919347200,no,no,unknown
721399823992229888,no,no,unknown
720206761114804225,yes,malpractice,unknown
729331330685804544,no,no,unknown
719531940995559424,no,no,unknown
721558396000862209,yes,no,unknown
733265578916347904,yes,no,unknown
733506420834893824,yes,malpractice,2016-05-20
736195788687040513,yes,no,unknown
726252767589834752,no,no,unknown
735756305709682688,no,no,unknown
739846918306598912,no,no,unknown
738358618639204352,yes,violence,2016-06-02
729667794367741953,yes,no,unknown
734627900687802369,no,no,unknown
724830215248162816,yes,no,unknown
734742373163368448,no,no,unknown
726020226144313344,no,no,unknown
735696404002144256,no,no,unknown
728542264775974912,yes,no,unknown
736502269902917632,yes,no,unknown
729213557754220544,yes,violence,2016-05-08
732088501429141504,yes,no,unknown
728275544500998144,yes,no,unknown
731443765290762240,yes,malpractice,2016-05-14
734870352749170689,no,no,unknown
737439403090554881,no,no,unknown
739779777607946241,no,no,unknown
735071619031302145,no,no,unknown
739250770378252289,no,no,unknown
737896769049251840,no,no,unknown
731413797340991488,no,no,unknown
729876618626269185,yes,no,unknown
737810960744878080,no,no,unknown
726754016495964160,no,no,unknown
738179676905078784,no,no,unknown
725693973017296896,yes,no,unknown
739107581776519168,no,no,unknown
728377600389828609,no,no,unknown
738703032460922881,yes,no,unknown
738986948799434752,no,no,unknown
734411789811765249,yes,violence,2016-05-22
720075106253455360,no,no,unknown
739368938765615104,no,no,unknown
733681001302360066,no,no,unknown
731914376047890432,no,no,unknown
718785274143068160,no,no,unknown
732103405447995392,no,no,unknown
725958151795658752,yes,no,unknown
729326127219658753,yes,no,unknown
718724910827311108,no,no,unknown
730292577652510720,no,no,unknown
736044915470282752,no,no,unknown
725545855747383296,yes,no,unknown
725191692945620993,no,no,unknown
731489592017182721,yes,no,unknown
728885205725913088,yes,no,unknown
727033206780923904,yes,violence,2016-05-02
740051627621507072,no,no,unknown
727453304083587072,yes,no,unknown
738280648780189696,yes,no,unknown
736787448101888000,no,no,unknown
721288975588134914,no,no,unknown
731000301667287040,yes,malpractice,2016-05-13
726946707095711744,yes,no,unknown
719142413025980416,yes,no,unknown
719107966201241600,yes,no,unknown
731534597062680580,no,no,unknown
730588729996271617,no,no,unknown
739955822797688832,no,no,unknown
740027579541782528,no,no,unknown
739645462668419072,yes,malpractice,unknown
723115453724254209,no,no,unknown
740204191952437249,no,no,unknown
736013713849896960,no,no,unknown
740150851419971585,no,no,unknown
734542003682299905,no,no,unknown
730850689992261632,no,no,unknown
735293647634108416,yes,no,unknown
728586997128794113,yes,no,unknown
736778263922495488,no,no,unknown
739756235705049088,no,no,unknown
721590252066869248,no,no,unknown
721996533885841408,yes,no,unknown
738460820640780288,yes,no,unknown
737632700232794112,yes,malpractice,2016-05-31
723205937465434112,no,no,unknown
739416784441212929,no,no,unknown
734051481658220544,no,no,unknown
721978202348859393,yes,no,unknown
725732916064473090,yes,malpractice,2016-04-29
726228113831522305,yes,no,unknown
733749553443143680,no,no,unknown
737760097196216321,no,no,unknown
720169753612931073,yes,no,unknown
734587466678710272,yes,no,unknown
737229184381026304,no,no,unknown
731919637277868032,no,no,unknown
724227921565474817,yes,no,unknown
737136720567640065,no,no,unknown
731405831854424064,yes,malpractice,unknown
732360282396368896,yes,violence,2016-05-17
731401419325050880,no,no,unknown
720897754600448000,no,no,unknown
719771738288967680,yes,no,unknown
737202555994791936,yes,no,unknown
726277666194612224,no,no,unknown
725696114880454656,yes,no,unknown
726377729105473537,yes,no,unknown
719520590881759232,yes,no,unknown
721868079517474816,yes,malpractice,2016-04-18
739041636714348545,no,no,unknown
740668749485879296,no,no,unknown
729266675489607680,yes,violence,2016-05-08
732033381391699970,yes,violence,unknown
719741866032422912,no,no,unknown
734289497576243200,no,no,unknown
718883842447314944,no,no,unknown
726386604651106304,no,no,unknown
739587667638157313,yes,violence,unknown
724595103524773888,yes,no,unknown
738405929310244864,no,no,unknown
739069355606974464,no,no,unknown
719410461523996673,yes,no,unknown
739641261817225216,no,no,unknown
732048311989895168,yes,no,unknown
719749407483240449,no,no,unknown
738204212857872389,yes,violence,unknown
736195146664943616,yes,no,unknown
730712529136173056,yes,no,unknown
725324614621102080,yes,no,unknown
721387384835846144,no,no,unknown
727576767767044096,yes,violence,2016-05-04
741069915415666689,yes,no,unknown
720134899848466432,yes,no,unknown
737406955803680771,no,no,unknown
740305354748092416,yes,no,unknown
738348867742138369,no,no,unknown
737671906141212672,no,no,unknown
729910336279613441,yes,no,unknown
739635266772566016,yes,no,unknown
730775209611927554,no,no,unknown
735433647746994178,no,no,unknown
737853602417385472,no,no,unknown
736530447170080768,no,no,unknown
734883359403474945,yes,malpractice,2016-05-24
728181760266145792,yes,no,unknown
724851568433070080,yes,no,unknown
736937294054072320,no,no,unknown
740851584230391808,no,no,unknown
727552212382011392,yes,violence,unknown
726273103551045632,yes,no,unknown
729831752127012864,yes,malpractice,2016-05-10
734289000735899648,no,no,unknown
724192286741913600,yes,no,unknown
725684628997046274,no,no,unknown
724199417058713600,yes,no,unknown
732173115032276992,yes,no,unknown
727704716654706688,yes,no,unknown
734104269029277698,yes,no,unknown
730251199908171776,no,no,unknown
724209554708275201,yes,no,unknown
729538750137540609,yes,no,unknown
719124359839809536,no,no,unknown
736335242512867328,no,no,unknown
720898645504045056,yes,no,unknown
719120777593823232,yes,no,unknown
739352860425478144,yes,violence,2016-06-05
719400499582099456,yes,no,unknown
729483665051287552,yes,violence,2016-05-09
719613597991571457,yes,malpractice,2016-04-11
736062326810370048,no,no,unknown
721544971900334080,yes,violence,2016-04-17
722426983892692992,no,no,unknown
738280718556487681,no,no,unknown
737857326925926401,no,no,unknown
721929039355576320,no,no,unknown
724178726590664704,yes,no,unknown
720526394699046912,no,no,unknown
736254445424508937,yes,no,unknown
740540781388124160,no,no,unknown
737759018148614144,no,no,unknown
741125356292169728,no,no,unknown
734721345347522560,no,no,unknown
738012886937665536,no,no,unknown
739015388718043136,no,no,unknown
736206828212649984,yes,no,unknown
740687630459797504,yes,no,unknown
735802783798988801,no,no,unknown
736739024853819396,yes,no,unknown
739346153037168640,no,no,unknown
739294829671153668,no,no,unknown
729309380651274240,yes,violence,2016-05-08
735777133943885824,no,no,unknown
731043568026976256,yes,no,unknown
726273597124153344,no,no,unknown
728227524262551552,yes,no,unknown
739151666369470464,no,no,unknown
734573649311600640,yes,no,unknown
731429482389602304,yes,no,unknown
719483130533392384,no,no,unknown
719509439913586689,no,no,unknown
736339019173236737,yes,malpractice,2016-05-28
733975507142746112,no,no,unknown
737235782121836544,no,no,unknown
734972190672584704,yes,no,unknown
728542255573651456,yes,no,unknown
729554009363648513,yes,malpractice,2016-05-09
720231238821261312,no,no,unknown
735827234498347008,no,no,unknown
734692707986083843,yes,no,unknown
737856803782819840,no,no,unknown
736966533692416004,yes,no,unknown
736851256967192578,no,no,unknown
730961733024522242,yes,no,unknown
740823926994001920,yes,violence,2016-06-09
719613589745586176,yes,malpractice,unknown
731842766267949057,no,no,unknown
720501869014032384,yes,no,unknown
732329300658003968,no,no,unknown
738768498294292480,yes,violence,unknown
723617696475144197,no,no,unknown
740110861801512960,no,no,unknown
719630120055652352,no,no,unknown
727017147734482945,yes,violence,unknown
719265232112062464,no,no,unknown
734139598146654208,no,no,unknown
735328838532640768,no,no,unknown
730960341602074625,no,no,unknown
728289644933189632,no,no,unknown
729642282777870336,yes,no,unknown
736440329235267584,no,no,unknown
720703612029157376,no,no,unknown
733196245297074176,no,no,unknown
732259837095116800,no,no,unknown
738391607922335744,yes,violence,unknown
731141708524756993,no,no,unknown
737696530367447040,yes,no,unknown
732097709511835648,yes,no,unknown
729565941785186305,yes,no,unknown
720426297583742976,yes,no,unknown
736851555140390912,no,no,unknown
727690548199362564,yes,no,unknown
724200532743573505,yes,no,unknown
730654015562895360,yes,malpractice,unknown
731527737362374656,no,no,unknown
721933752964780032,no,no,unknown
735393928178978816,no,no,unknown
739877946664603648,yes,no,unknown
735273184128208896,no,no,unknown
736588718530646016,no,no,unknown
723749666039336960,yes,no,unknown
719645439763591170,no,no,unknown
733534212406398976,yes,no,unknown
740612903330451456,no,no,unknown
733233996910333952,no,no,unknown
723908080702918657,no,no,unknown
732346016427479040,yes,no,unknown
731902141552529408,no,no,unknown
724585058166693890,no,no,unknown
738079874875854848,yes,no,unknown
735884044148211713,no,no,unknown
733994038773329920,no,no,unknown
720878427205558272,yes,no,unknown
735814993514487809,no,no,unknown
724188931311296513,yes,no,unknown
725210143688785920,no,no,unknown
725732590574010368,yes,violence,2016-04-28
729301366485618688,yes,no,unknown
722424299521376260,yes,no,unknown
730394377030356992,yes,no,unknown
736875742978408448,no,no,unknown
741220591919763456,no,no,unknown
729941824727490562,yes,no,unknown
732875520505827328,no,no,unknown
735857162400849922,no,no,unknown
732796757072039936,no,no,unknown
715201403640098816,no,no,unknown
732061010190700544,no,no,unknown
719893965928079361,yes,no,unknown
738674724117446656,no,no,unknown
728874103432744960,yes,violence,2016-05-07
729595323102822400,no,no,unknown
722290014693040128,no,no,unknown
733208589268029440,yes,no,unknown
739637081169920000,no,no,unknown
732769552304635904,no,no,unknown
736027279420051462,no,no,unknown
732557917682028544,yes,no,unknown
734477536206454784,yes,violence,unknown
719094937736744960,yes,malpractice,2016-04-10
722683268462743552,yes,no,unknown
732905013685542915,no,no,unknown
734390365331939328,yes,malpractice,2016-05-22
739808006297161729,no,no,unknown
725780037262139392,no,no,unknown
741182216768790528,no,no,unknown
733373959165476864,no,no,unknown
735272649132105728,no,no,unknown
721239855355703300,no,no,unknown
739750972746911744,no,no,unknown
726998119951437824,no,no,unknown
730552514353881088,yes,no,unknown
719498533045284864,no,no,unknown
728476043556724738,no,no,unknown
726730582332297216,no,no,unknown
719442844151197696,yes,no,unknown
735356556754202625,no,no,unknown
740894438239543296,no,no,unknown
731983654574919683,yes,no,unknown
729650216576552960,yes,no,unknown
738596227814547458,yes,violence,unknown
725444420707999744,no,no,unknown
728281185630203905,yes,no,unknown
730443209244053508,no,no,unknown
728592967733149696,no,no,unknown
727785913904816129,yes,no,unknown
736039426518884352,no,no,unknown
738435932051886080,no,no,unknown
739026316553396224,yes,no,unknown
724981847696908288,yes,no,unknown
719121285125505024,no,no,unknown
740393701810307073,no,no,unknown
738348236692283393,no,no,unknown
736927848078946305,no,no,unknown
721651795420794880,no,no,unknown
720859612799377408,yes,no,unknown
736826603787845633,no,no,unknown
737588521871900677,no,no,unknown
729655556537864192,yes,malpractice,unknown
741270589885812736,no,no,unknown
734946205881368576,no,no,unknown
729640364294864902,no,no,unknown
739642300666675201,no,no,unknown
733223961748774912,yes,no,unknown
734342107368984576,yes,malpractice,2016-05-20
731822520710500352,no,no,unknown
727308061958762496,yes,no,unknown
735797386384138240,no,no,unknown
735803208807784448,no,no,unknown
720843974252978177,no,no,unknown
729190601082593280,yes,no,unknown
730642942713532416,yes,no,unknown
721587522963316737,yes,violence,unknown
728821927318409216,no,no,unknown
735039719025713153,yes,no,unknown
732432608454279168,no,no,unknown
735728852685623296,no,no,unknown
736861218615361536,yes,no,unknown
735711348743503872,no,no,unknown
728442453921955841,yes,no,unknown
726004813549301760,no,no,unknown
739754112892313600,no,no,unknown
728465164865966080,yes,no,unknown
730639805940269057,yes,no,unknown
725330918639079427,no,no,unknown
721650544549437441,no,no,unknown
721871427054383104,yes,malpractice,2016-04-18
729877006796513280,yes,no,unknown
740593985677340672,no,no,unknown
735917850355892224,no,no,unknown
720881542143193088,yes,no,unknown
718617815918387200,yes,no,unknown
730968180940636161,no,no,unknown
740854252030046210,yes,violence,2016-06-09
720084474420011008,yes,no,unknown
727817139239985152,no,no,unknown
729510208687382528,no,no,unknown
726186413767565313,yes,no,unknown
721287391584088064,no,no,unknown
720065223667810305,yes,no,unknown
725277101536989184,yes,no,unknown
725676317979463680,no,no,unknown
720102771819692032,no,no,unknown
734665616485978114,yes,malpractice,unknown
736165705868009472,no,no,unknown
724213929375752193,yes,no,unknown
736552758409453568,no,no,unknown
723621043525414912,no,no,unknown
732109908242403329,no,no,unknown
730247672959926272,no,no,unknown
721649908218875910,no,no,unknown
727871834138419200,yes,no,unknown
730991814774276096,yes,no,unknown
738688512019468288,no,no,unknown
721767468864245760,no,no,unknown
719816953209188353,no,no,unknown
728451381787381762,yes,no,unknown
736836972287807488,yes,no,unknown
739398320934768640,no,no,unknown
737430240771727360,yes,no,unknown
729673628518768640,yes,no,unknown
727089429181947904,yes,no,unknown
734361083058769923,no,no,unknown
720840539118043136,yes,violence,2016-04-15
732421383741943808,no,no,unknown
